strategy,signal_time,entry_time,exit_time,entry_price,exit_price,sl,target,shares,pnl,exit_reason,symbol
VOLATILITY_BREAKOUT,2025-10-28 08:00:00+05:30,2025-10-28 12:00:00+05:30,2025-11-24 12:00:00+05:30,1934.1,2038.5,1881.8999999999999,2038.5,51,5324.400000000005,TARGET,SBILIFE
VOLATILITY_BREAKOUT,2025-10-28 12:00:00+05:30,2025-10-29 08:00:00+05:30,2025-11-04 08:00:00+05:30,3988.0,3940.3,3905.24,4153.52,25,-1192.4999999999955,CLOSE_BELOW_EMA_FAST,LT
VOLATILITY_BREAKOUT,2025-10-29 08:00:00+05:30,2025-10-29 12:00:00+05:30,2025-11-10 08:00:00+05:30,479.75,467.15,463.94,511.37,208,-2620.8000000000047,CLOSE_BELOW_EMA_FAST,VBL
VOLATILITY_BREAKOUT,2025-10-29 08:00:00+05:30,2025-10-29 12:00:00+05:30,2025-11-04 08:00:00+05:30,185.47,180.505,180.505,195.4,539,-2676.135000000002,SL,TATASTEEL
VOLATILITY_BREAKOUT,2025-10-29 12:00:00+05:30,2025-10-30 08:00:00+05:30,2025-11-12 12:00:00+05:30,380.0,400.66,369.67,400.66,263,5433.580000000006,TARGET,BIOCON
VOLATILITY_BREAKOUT,2025-10-30 08:00:00+05:30,2025-10-30 12:00:00+05:30,2025-11-11 08:00:00+05:30,1761.5,1765.0,1704.3,1875.9,56,196.0,CLOSE_BELOW_EMA_FAST,OBEROIRLTY
VOLATILITY_BREAKOUT,2025-10-30 08:00:00+05:30,2025-10-30 12:00:00+05:30,2025-11-18 08:00:00+05:30,94.92,100.20200000000001,92.279,100.20200000000001,1053,5561.946000000011,TARGET,GMRAIRPORT
VOLATILITY_BREAKOUT,2025-10-30 12:00:00+05:30,2025-10-31 08:00:00+05:30,2025-11-11 08:00:00+05:30,261.29,278.696,252.58700000000002,278.696,382,6649.092000000002,TARGET,BHEL
VOLATILITY_BREAKOUT,2025-10-31 08:00:00+05:30,2025-10-31 12:00:00+05:30,2025-11-07 08:00:00+05:30,81.85,78.798,78.798,87.954,1221,-3726.4919999999906,SL,IDFCFIRSTB
VOLATILITY_BREAKOUT,2025-10-31 12:00:00+05:30,2025-11-03 08:00:00+05:30,2025-11-07 12:00:00+05:30,6738.0,6607.0,6561.65,7090.7,14,-1834.0,CLOSE_BELOW_EMA_FAST,DIVISLAB
VOLATILITY_BREAKOUT,2025-11-03 08:00:00+05:30,2025-11-03 12:00:00+05:30,2025-11-12 12:00:00+05:30,1730.8,1731.9,1674.04,1844.32,57,62.700000000007776,CLOSE_BELOW_EMA_FAST,PHOENIXLTD
VOLATILITY_BREAKOUT,2025-11-03 08:00:00+05:30,2025-11-03 12:00:00+05:30,2025-11-06 08:00:00+05:30,1910.0,1841.1,1841.1,2047.8,52,-3582.8000000000047,SL,MCX
VOLATILITY_BREAKOUT,2025-11-03 08:00:00+05:30,2025-11-03 12:00:00+05:30,2025-11-21 08:00:00+05:30,884.0,865.35,849.98,952.04,113,-2107.4499999999975,CLOSE_BELOW_EMA_FAST,INDIANB
VOLATILITY_BREAKOUT,2025-11-03 08:00:00+05:30,2025-11-03 12:00:00+05:30,2025-11-26 08:00:00+05:30,786.2,845.1600000000001,756.72,845.1600000000001,127,7487.920000000005,TARGET,SHRIRAMFIN
VOLATILITY_BREAKOUT,2025-11-03 12:00:00+05:30,2025-11-04 08:00:00+05:30,2025-11-04 08:00:00+05:30,1199.8,1165.1399999999999,1165.1399999999999,1269.12,83,-2876.780000000007,SL,TATACONSUM
VOLATILITY_BREAKOUT,2025-11-04 08:00:00+05:30,2025-11-04 12:00:00+05:30,2025-11-07 08:00:00+05:30,60.74,58.466,58.466,65.288,1646,-3743.0040000000017,SL,SUZLON
VOLATILITY_BREAKOUT,2025-11-04 08:00:00+05:30,2025-11-04 12:00:00+05:30,2025-11-07 08:00:00+05:30,525.55,508.82499999999993,508.82499999999993,559.0,190,-3177.7500000000045,SL,KALYANKJIL
VOLATILITY_BREAKOUT,2025-11-04 08:00:00+05:30,2025-11-04 12:00:00+05:30,2025-11-25 12:00:00+05:30,3815.4,3847.1,3719.09,4008.0200000000004,26,824.1999999999953,CLOSE_BELOW_EMA_FAST,TITAN
VOLATILITY_BREAKOUT,2025-11-04 12:00:00+05:30,2025-11-06 08:00:00+05:30,2025-11-07 08:00:00+05:30,969.65,947.995,947.995,1012.9599999999999,103,-2230.4649999999974,SL,SBIN
VOLATILITY_BREAKOUT,2025-11-07 12:00:00+05:30,2025-11-10 08:00:00+05:30,2025-11-19 12:00:00+05:30,750.05,751.65,724.31,801.5299999999999,133,212.80000000000302,CLOSE_BELOW_EMA_FAST,UPL
VOLATILITY_BREAKOUT,2025-11-07 12:00:00+05:30,2025-11-10 08:00:00+05:30,2025-11-17 12:00:00+05:30,262.2,283.97999999999996,251.31,283.97999999999996,381,8298.17999999999,TARGET,ANGELONE
VOLATILITY_BREAKOUT,2025-11-10 08:00:00+05:30,2025-11-10 12:00:00+05:30,2025-11-12 12:00:00+05:30,2655.9,2781.0600000000004,2593.32,2781.0600000000004,37,4630.920000000011,TARGET,ASIANPAINT
VOLATILITY_BREAKOUT,2025-11-10 08:00:00+05:30,2025-11-10 12:00:00+05:30,2025-11-21 08:00:00+05:30,253.6,253.56,243.995,272.81,394,-15.759999999996865,CLOSE_BELOW_EMA_FAST,NATIONALUM
VOLATILITY_BREAKOUT,2025-11-11 08:00:00+05:30,2025-11-11 12:00:00+05:30,2025-11-24 12:00:00+05:30,285.35,277.55,273.55600000000004,308.93800000000005,350,-2730.000000000004,CLOSE_BELOW_EMA_FAST,BHEL
VOLATILITY_BREAKOUT,2025-11-11 12:00:00+05:30,2025-11-12 08:00:00+05:30,2025-11-12 12:00:00+05:30,147.47,143.28,143.28,155.85,678,-2840.8199999999983,SL,ASHOKLEY
VOLATILITY_BREAKOUT,2025-11-12 08:00:00+05:30,2025-11-12 12:00:00+05:30,2025-11-21 08:00:00+05:30,1709.2,1650.51,1650.51,1826.5800000000002,58,-3404.020000000003,SL,MFSL
VOLATILITY_BREAKOUT,2025-11-12 12:00:00+05:30,2025-11-13 08:00:00+05:30,2025-12-01 08:00:00+05:30,2858.9,2857.6,2780.29,3016.1200000000003,34,-44.200000000006185,CLOSE_BELOW_EMA_FAST,ASIANPAINT
VOLATILITY_BREAKOUT,2025-11-12 12:00:00+05:30,2025-11-13 08:00:00+05:30,2025-11-20 08:00:00+05:30,407.15,393.17999999999995,393.17999999999995,435.09,245,-3422.650000000007,SL,BIOCON
VOLATILITY_BREAKOUT,2025-11-13 08:00:00+05:30,2025-11-13 12:00:00+05:30,2025-11-19 08:00:00+05:30,151.19,145.966,145.966,161.638,661,-3453.063999999993,SL,ASHOKLEY
VOLATILITY_BREAKOUT,2025-11-13 08:00:00+05:30,2025-11-13 12:00:00+05:30,2025-11-18 08:00:00+05:30,533.4,514.54,514.54,571.12,187,-3526.8200000000024,SL,VEDL
VOLATILITY_BREAKOUT,2025-11-13 12:00:00+05:30,2025-11-14 08:00:00+05:30,2025-11-24 12:00:00+05:30,111.31,109.2,107.016,119.898,898,-1894.7799999999995,CLOSE_BELOW_EMA_FAST,MOTHERSON
VOLATILITY_BREAKOUT,2025-11-17 08:00:00+05:30,2025-11-17 12:00:00+05:30,2025-11-21 08:00:00+05:30,149.56,145.08700000000002,145.08700000000002,158.50599999999997,668,-2987.96399999999,SL,CANBK
VOLATILITY_BREAKOUT,2025-11-18 08:00:00+05:30,2025-11-18 12:00:00+05:30,2025-11-28 08:00:00+05:30,102.1,108.91,98.695,108.91,979,6666.9900000000025,TARGET,GMRAIRPORT
VOLATILITY_BREAKOUT,2025-11-18 08:00:00+05:30,2025-11-18 12:00:00+05:30,2025-12-01 08:00:00+05:30,1264.9,1270.7,1240.41,1313.88,79,458.1999999999964,CLOSE_BELOW_EMA_FAST,AXISBANK
VOLATILITY_BREAKOUT,2025-11-19 08:00:00+05:30,2025-11-19 12:00:00+05:30,2025-12-02 08:00:00+05:30,1420.2,1413.7,1366.15,1528.3000000000002,70,-455.0,CLOSE_BELOW_EMA_FAST,BHARATFORG
VOLATILITY_BREAKOUT,2025-11-19 12:00:00+05:30,2025-11-20 08:00:00+05:30,2025-12-08 08:00:00+05:30,1790.0,1799.1,1751.07,1867.86,55,500.499999999995,CLOSE_BELOW_EMA_FAST,SUNPHARMA
VOLATILITY_BREAKOUT,2025-11-20 08:00:00+05:30,2025-11-20 12:00:00+05:30,2025-12-05 08:00:00+05:30,6014.0,6368.1,5836.95,6368.1,16,5665.600000000006,TARGET,HEROMOTOCO
VOLATILITY_BREAKOUT,2025-11-20 08:00:00+05:30,2025-11-20 12:00:00+05:30,2025-11-21 12:00:00+05:30,22330.0,21525.2,21525.2,23939.6,4,-3219.199999999997,SL,POWERINDIA
VOLATILITY_BREAKOUT,2025-11-20 12:00:00+05:30,2025-11-21 08:00:00+05:30,2025-11-25 08:00:00+05:30,1003.1,995.65,985.72,1037.86,99,-737.5500000000045,CLOSE_BELOW_EMA_FAST,HDFCBANK
VOLATILITY_BREAKOUT,2025-11-21 08:00:00+05:30,2025-11-21 12:00:00+05:30,2025-12-03 12:00:00+05:30,1145.6,1151.0,1102.9699999999998,1230.86,87,469.8000000000079,CLOSE_BELOW_EMA_FAST,360ONE
VOLATILITY_BREAKOUT,2025-12-18 12:00:00+05:30,2025-12-19 08:00:00+05:30,2026-01-01 08:00:00+05:30,172.08,181.63000000000002,167.305,181.63000000000002,581,5548.550000000007,TARGET,ASHOKLEY
VOLATILITY_BREAKOUT,2025-12-22 08:00:00+05:30,2025-12-22 12:00:00+05:30,2025-12-26 08:00:00+05:30,265.5,259.865,259.865,276.77,376,-2118.7599999999966,SL,WIPRO
VOLATILITY_BREAKOUT,2025-12-24 08:00:00+05:30,2025-12-24 12:00:00+05:30,2026-01-08 12:00:00+05:30,313.5,308.5,303.905,332.69,318,-1590.0,CLOSE_BELOW_EMA_FAST,MANAPPURAM
VOLATILITY_BREAKOUT,2025-12-24 08:00:00+05:30,2025-12-24 12:00:00+05:30,2025-12-30 12:00:00+05:30,297.55,318.25000000000006,287.2,318.25000000000006,336,6955.200000000015,TARGET,NATIONALUM
VOLATILITY_BREAKOUT,2025-12-26 08:00:00+05:30,2025-12-26 12:00:00+05:30,2026-01-05 12:00:00+05:30,120.51,119.62,115.635,130.26000000000002,829,-737.8100000000005,CLOSE_BELOW_EMA_FAST,NBCC
VOLATILITY_BREAKOUT,2026-01-02 08:00:00+05:30,2026-01-02 12:00:00+05:30,2026-01-07 08:00:00+05:30,326.9,353.94,313.38,353.94,305,8247.200000000006,TARGET,NATIONALUM
VOLATILITY_BREAKOUT,2026-01-02 08:00:00+05:30,2026-01-02 12:00:00+05:30,2026-01-08 08:00:00+05:30,1309.8,1286.8,1269.74,1389.92,76,-1748.0,CLOSE_BELOW_EMA_FAST,UNOMINDA
VOLATILITY_BREAKOUT,2026-01-02 08:00:00+05:30,2026-01-02 12:00:00+05:30,2026-01-07 12:00:00+05:30,442.85,428.45,426.65000000000003,475.25000000000006,225,-3240.0000000000077,CLOSE_BELOW_EMA_FAST,INDUSTOWER
VOLATILITY_BREAKOUT,2026-01-02 08:00:00+05:30,2026-01-02 12:00:00+05:30,2026-01-08 12:00:00+05:30,382.95,371.56,371.56,405.73,261,-2972.7899999999963,SL,RECLTD
VOLATILITY_BREAKOUT,2026-01-02 08:00:00+05:30,2026-01-02 12:00:00+05:30,2026-01-14 08:00:00+05:30,415.75,436.73,405.26,436.73,240,5035.200000000004,TARGET,COALINDIA
VOLATILITY_BREAKOUT,2026-01-02 08:00:00+05:30,2026-01-02 12:00:00+05:30,2026-01-08 12:00:00+05:30,377.25,366.90999999999997,366.90999999999997,397.93,265,-2740.1000000000085,SL,PFC
VOLATILITY_BREAKOUT,2026-01-02 08:00:00+05:30,2026-01-02 12:00:00+05:30,2026-01-16 08:00:00+05:30,188.82,184.53,183.183,200.094,529,-2269.4099999999958,CLOSE_BELOW_EMA_FAST,ASHOKLEY
VOLATILITY_BREAKOUT,2026-01-02 08:00:00+05:30,2026-01-02 12:00:00+05:30,2026-01-08 08:00:00+05:30,858.55,834.775,834.775,906.0999999999999,116,-2757.8999999999974,SL,INDIANB
